Calendar Year,School Name,State,School Type,ICSEA,ICSEA Percentile,Full Time Equivalent Teaching Staff,Full Time Equivalent Enrolments
2021,Sydney Grammar School,NSW,Combined,1281.0,99.0,202.1,1895.0
2021,James Ruse Agricultural High School,NSW,Secondary,1245.0,99.0,60.6,854.5
2021,Perth Modern School,WA,Secondary,1237.0,99.0,95.3,1440.0
2021,St Aloysius' College,NSW,Combined,1235.0,99.0,110.6,1277.0
2021,Queensland Academy for Science Mathematics and Technology,QLD,Secondary,1224.0,99.0,98.5,1237.6
2021,Northern Beaches Secondary College Manly Campus,NSW,Secondary,1222.0,99.0,60.4,788.8
2021,Rainworth State School,QLD,Primary,1222.0,99.0,36.8,624.0
2021,Christ Church Grammar School,VIC,Primary,1220.0,99.0,33.2,285.0
2021,Abbotsleigh,NSW,Combined,1217.0,99.0,137.6,1550.0
2021,McAuley Catholic Primary School,NSW,Primary,1212.0,99.0,10.7,139.0
2021,Deutsche Schule Melbourne,VIC,Primary,1211.0,99.0,13.4,141.0
2021,Merewether High School,NSW,Secondary,1211.0,99.0,71.0,1073.3
2021,Mosman Church of England Preparatory School,NSW,Primary,1211.0,99.0,29.1,233.0
2021,Hornsby Girls High School,NSW,Secondary,1210.0,99.0,53.1,719.0
2021,John Colet School,NSW,Primary,1210.0,99.0,18.6,249.0
2021,North Sydney Girls High School,NSW,Secondary,1209.0,99.0,62.6,905.8
2021,SCEGGS Darlinghurst,NSW,Combined,1208.0,99.0,120.3,931.0
2021,Sydney Girls High School,NSW,Secondary,1207.0,99.0,63.4,929.1
2021,Baulkham Hills High School,NSW,Secondary,1207.0,99.0,86.2,1240.9
2021,Normanhurst Boys High School,NSW,Secondary,1206.0,99.0,57.8,753.6
2021,International Chinese School,NSW,Primary,1206.0,99.0,5.0,73.0
2021,Cameragal Montessori School,NSW,Combined,1204.0,99.0,6.5,48.0
2021,Smiths Hill High School,NSW,Secondary,1204.0,99.0,54.1,725.0
2021,Brisbane Grammar School,QLD,Combined,1203.0,99.0,155.0,1787.5
2021,Brisbane Girls Grammar School,QLD,Secondary,1201.0,99.0,148.0,1485.0
2021,North Sydney Boys High School,NSW,Secondary,1200.0,99.0,67.9,936.5
2021,Presbyterian Ladies' College,VIC,Combined,1199.0,99.0,141.0,1463.0
2021,Quintilian School,WA,Primary,1199.0,99.0,17.1,175.0
2021,Holy Family Catholic Primary School,NSW,Primary,1197.0,99.0,12.2,184.0
2021,SCECGS Redlands,NSW,Combined,1197.0,99.0,156.6,1615.0
2021,Conservatorium High School,NSW,Secondary,1196.0,99.0,19.1,157.1
2021,St Francis of Assisi Regional Catholic Primary School,NSW,Primary,1196.0,99.0,13.3,191.0
2021,Blessed Sacrament Catholic Primary School,NSW,Primary,1195.0,99.0,10.1,115.0
2021,Ascham School,NSW,Combined,1195.0,99.0,130.4,1158.0
2021,Erasmus Primary School,VIC,Primary,1195.0,99.0,10.8,120.0
2021,Dalkeith Primary School,WA,Primary,1195.0,99.0,19.4,315.8
2021,Westgarth Primary School,VIC,Primary,1193.0,99.0,38.5,613.0
2021,St Hilda's Anglican School for Girls,WA,Combined,1193.0,99.0,106.6,1041.0
2021,Girraween High School,NSW,Secondary,1192.0,99.0,55.3,751.3
2021,Roseville College,NSW,Combined,1192.0,99.0,97.3,997.0
2021,Camberwell Primary School,VIC,Primary,1192.0,99.0,46.7,651.0
2021,Fitzroy Community School,VIC,Primary,1192.0,99.0,9.5,117.0
2021,Radford College,ACT,Combined,1192.0,99.0,153.0,1986.0
2021,Merri Creek Primary School,VIC,Primary,1191.0,99.0,25.9,442.0
2021,Montessori East,NSW,Primary,1189.0,99.0,6.0,97.0
2021,Korowa Anglican Girls' School,VIC,Combined,1189.0,99.0,78.6,701.0
2021,Dara School,SA,Combined,1189.0,99.0,8.8,55.0
2021,Loreto Kirribilli,NSW,Combined,1188.0,99.0,109.3,1142.0
2021,Lauriston Girls' School,VIC,Combined,1188.0,99.0,116.4,885.0
2021,Scotch College,VIC,Combined,1188.0,99.0,195.0,1879.0
2021,Canberra Grammar School,ACT,Combined,1188.0,99.0,174.5,2033.0
2021,St Philip Neri Catholic Primary School,NSW,Primary,1187.0,99.0,10.1,141.0
2021,Wenona School,NSW,Combined,1187.0,99.0,113.3,1260.2
2021,Camberwell Girls Grammar School,VIC,Combined,1187.0,99.0,82.5,759.9
2021,Sydney Boys High School,NSW,Secondary,1186.0,99.0,78.4,1201.9
2021,Pymble Public School,NSW,Primary,1186.0,99.0,30.7,582.0
2021,St Ives North Public School,NSW,Primary,1186.0,99.0,45.3,901.0
2021,Somerville House,QLD,Combined,1186.0,99.0,150.2,1265.4
2021,Beaumont Road Public School,NSW,Primary,1185.0,99.0,19.4,372.0
2021,Canterbury Primary School,VIC,Primary,1185.0,99.0,41.8,616.0
2021,Ruyton Girls' School,VIC,Combined,1185.0,99.0,98.5,870.0
2021,Cammeray Public School,NSW,Primary,1184.0,99.0,41.2,784.0
2021,Sacred Heart Catholic Primary School,NSW,Primary,1184.0,99.0,14.5,263.0
2021,Emanuel School,NSW,Combined,1184.0,99.0,85.5,853.0
2021,Clifton Hill Primary School,VIC,Primary,1184.0,99.0,50.2,735.0
2021,Rosalie Primary School,WA,Primary,1184.0,99.0,30.7,548.2
2021,Fort Street High School,NSW,Secondary,1183.0,99.0,63.3,912.0
2021,Northcross Christian School,NSW,Primary,1183.0,99.0,23.7,370.0
2021,Bardon State School,QLD,Primary,1183.0,99.0,21.6,328.0
2021,Pymble Ladies' College,NSW,Combined,1182.0,99.0,231.0,2263.6
2021,Cranbrook School,NSW,Combined,1182.0,99.0,158.2,1608.0
2021,All Hallows' School,QLD,Combined,1182.0,99.0,117.9,1586.0
2021,Blue Gum Montessori School,WA,Primary,1182.0,99.0,21.2,235.0
2021,Roseville Public School,NSW,Primary,1181.0,99.0,33.5,618.0
2021,Methodist Ladies' College,VIC,Combined,1181.0,99.0,227.0,2015.8
2021,Haileybury College,VIC,Combined,1181.0,99.0,452.0,4304.0
2021,Ashgrove State School,QLD,Primary,1181.0,99.0,44.1,776.0
2021,Caringbah High School,NSW,Secondary,1180.0,99.0,62.1,905.8
2021,Matthew Pearce Public School,NSW,Primary,1180.0,99.0,72.9,1397.0
2021,Kew East Primary School,VIC,Primary,1180.0,99.0,26.7,386.0
2021,Fintona Girls' School,VIC,Combined,1180.0,99.0,50.8,433.0
2021,St Joseph's College,QLD,Combined,1180.0,99.0,131.8,1699.0
2021,North Cottesloe Primary School,WA,Primary,1180.0,99.0,22.2,381.6
2021,St Peter's Collegiate Girls' School,SA,Combined,1180.0,99.0,67.5,752.0
2021,St Michael's Catholic Primary School,NSW,Primary,1179.0,99.0,28.5,540.0
2021,Malvern Primary School,VIC,Primary,1179.0,99.0,40.6,597.0
2021,St Kevin's College,VIC,Combined,1179.0,99.0,193.6,2114.0
2021,Floreat Park Primary School,WA,Primary,1179.0,99.0,30.8,586.8
2021,Kapinara Primary School,WA,Primary,1179.0,99.0,23.0,386.2
2021,Beecroft Public School,NSW,Primary,1178.0,99.0,46.8,893.0
2021,Melbourne Girls Grammar,VIC,Combined,1178.0,99.0,127.6,1024.0
2021,Chapel Hill State School,QLD,Primary,1178.0,99.0,53.1,831.2
2021,St Columba's Primary School,QLD,Primary,1178.0,99.0,34.2,606.0
2021,Chrysalis Montessori School,WA,Primary,1178.0,99.0,7.8,105.0
2021,International School of Western Australia,WA,Combined,1178.0,99.0,39.0,287.0
2021,Woollahra Public School,NSW,Primary,1177.0,98.0,37.2,730.0
2021,Northbridge Public School,NSW,Primary,1177.0,98.0,24.6,481.0
2021,Penrith High School,NSW,Secondary,1177.0,98.0,62.6,928.1
2021,Monte Sant' Angelo Mercy College,NSW,Secondary,1177.0,98.0,116.9,1176.0
2021,Queenwood,NSW,Combined,1177.0,98.0,103.5,902.0
2021,Newington College,NSW,Combined,1177.0,98.0,185.8,2002.0
2021,Ravenswood School for Girls,NSW,Combined,1177.0,98.0,152.1,1315.0
2021,Balwyn Primary School,VIC,Primary,1177.0,98.0,40.4,592.0
2021,Hampton Primary School,VIC,Primary,1177.0,98.0,37.9,619.0
2021,Indooroopilly State School,QLD,Primary,1177.0,98.0,80.7,1375.0
2021,St Ignatius School,QLD,Primary,1177.0,98.0,15.6,278.0
2021,Our Lady Help of Christians Catholic Primary School,NSW,Primary,1176.0,98.0,9.5,97.0
2021,St Joseph's School,VIC,Primary,1176.0,98.0,24.5,416.0
2021,Trinity Grammar School Kew,VIC,Combined,1176.0,98.0,143.1,1483.0
2021,Huntingtower School,VIC,Combined,1176.0,98.0,73.7,721.0
2021,Glenmore Road Public School,NSW,Primary,1175.0,98.0,20.5,397.0
2021,Lindfield Public School,NSW,Primary,1175.0,98.0,43.6,801.0
2021,Hartwell Primary School,VIC,Primary,1175.0,98.0,43.6,649.0
2021,Camberwell Grammar School,VIC,Combined,1175.0,98.0,143.9,1343.0
2021,Christ Church Grammar School,WA,Combined,1175.0,98.0,159.9,1670.0
2021,The Beehive Montessori School,WA,Combined,1175.0,98.0,13.7,179.0
2021,Balgowlah Heights Public School,NSW,Primary,1174.0,98.0,36.8,738.0
2021,Turramurra Public School,NSW,Primary,1174.0,98.0,30.4,546.0
2021,Inner Sydney Montessori School,NSW,Combined,1174.0,98.0,18.1,163.0
2021,Glen Iris Primary School,VIC,Primary,1174.0,98.0,25.5,417.0
2021,Sacre Coeur,VIC,Combined,1174.0,98.0,79.5,709.0
2021,St Leonard's College,VIC,Combined,1174.0,98.0,156.4,1512.0
2021,St Aidan's Anglican Girls School,QLD,Combined,1174.0,98.0,71.1,906.0
2021,Cannon Hill Anglican College,QLD,Combined,1174.0,98.0,95.1,1329.0
2021,Nedlands Primary School,WA,Primary,1174.0,98.0,28.3,470.6
